Title,Description,Price,Link
1970 Cadillac Eldorado,CLASSIC VEHICLE:  Running condition .  Vehicle was serviced prior to listing .  2 door Coupe with  S ...,Price not available,https://classiccars.com/listings/view/1865952/1970-cadillac-eldorado-for-sale-in-streator-illinois-61364
1971 Chevrolet Camaro RS Z28,1971 Camaro Z28 Rally Sport - NUMBERS MATCHING Engine # V0914CGR 350-330 HP AXLE # CGG255W  3.73 Pos ...,55000.0,https://classiccars.com/listings/view/1878191/1971-chevrolet-camaro-rs-z28-for-sale-in-wayzata-minnesota-55391
1965 Plymouth Satellite,"1965 Satellite 2dr Original red 361 big block car now 383 auto 727 with 83/4 with 3:55 suregrip, eng ...",Price not available,https://classiccars.com/listings/view/1574042/1965-plymouth-satellite-for-sale-in-peoria-arizona-85383
1970 Toyota Land Cruiser FJ40,"Beautifully restored 1970 Toyota Land Cruiser FJ40 appraised for $102,000.   RESTORATION: Frame off  ...",Price not available,https://classiccars.com/listings/view/1635166/1970-toyota-land-cruiser-fj40-for-sale-in-simi-valley-california-93065
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/59846131?utm_source=classiccars.com&utm_medium=home-page-ah-carousel&utm_campaign=cc.com-ah-carousel
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/59006143?utm_source=classiccars.com&utm_medium=home-page-ah-carousel&utm_campaign=cc.com-ah-carousel
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/58900480?utm_source=classiccars.com&utm_medium=home-page-ah-carousel&utm_campaign=cc.com-ah-carousel
Title not found,Description not found,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/53346872?utm_source=classiccars.com&utm_medium=home-page-ah-carousel&utm_campaign=cc.com-ah-carousel
1957 Ford Thunderbird,"1957 Thunderbird. -  947 miles since build.  Vin: D7FH394253 Located in Sarasota, FL, part of privat ...",Price not available,https://classiccars.com/listings/view/1751109/1957-ford-thunderbird-for-sale-in-sarasota-florida-34232
1946 Hudson Pickup,"Custom 4 door cab, maple wood bed, 2000 Lincoln Navigator 5.4 4 cam 32 valve Engine & 4 speed O/ ...",Price not available,https://classiccars.com/listings/view/1216382/1946-hudson-pickup-for-sale-in-columbia-tennessee-38401
1960 Porsche 356B,...,179000.0,https://classiccars.com/listings/view/1883543/1960-porsche-356b-for-sale-in-williamsburg-virginia-23185
1964 Volkswagen Beetle,1964 Volkswagen Beetle (23 mile Time capsule) Vin: 6437532 Engine Number: 8702841 Mileage: 00023   1 ...,290000.0,https://classiccars.com/listings/view/1649891/1964-volkswagen-beetle-for-sale-in-boring-oregon-97009
1976 Triumph TR6,"This is a classic 1976 Triumph convertible, boasting a powerful 2.5-liter inline 6 engine. The body  ...",39000.0,https://classiccars.com/listings/view/1680317/1976-triumph-tr6-for-sale-in-st-louis-missouri-63044
1958 Chevrolet Impala,STK 3779 1958 Chevrolet Impala Sport Coupe The 1958 Impala is a classic Chevrolet known for its uniq ...,83995.0,https://classiccars.com/listings/view/1830925/1958-chevrolet-impala-for-sale-in-concord-north-carolina-28027
1940 Ford F1 Pickup,New Arrival 1940 Ford F1 Street Rod Truck 383ci Stroker V8 700R4 9in Posi Roll Cage Less than 200 mi ...,Price not available,https://classiccars.com/listings/view/1894369/1940-ford-f1-pickup-for-sale-in-waconia-minnesota-55378
1973 Chevrolet Corvette,Frame-off restored 1973 Chevrolet Corvette powered by #'s matching LS4 454 V8. Frame-off restored ~1 ...,59995.0,https://classiccars.com/listings/view/1832457/1973-chevrolet-corvette-for-sale-in-elkhart-indiana-46514
1968 Ford Mustang,WE HAVE THREE UNDER CONSTRUCTION. THEY WON'T ALL BE THIS PRICE. IT TAKES US A YEAR TO BUILD THEM ...,175000.0,https://classiccars.com/listings/view/1701887/1968-ford-mustang-for-sale-in-cypress-texas-77429
1957 Chevrolet Corvette,...,119845.0,https://classiccars.com/listings/view/1893204/1957-chevrolet-corvette-for-sale-in-christiansburg-virginia-24073
1969 Chevrolet Camaro,4829-TPA 1969 CHEVROLET CAMARO RESTOMOD This 1969 Chevrolet Camaro Restomod flexes its muscles with  ...,109995.0,https://classiccars.com/listings/view/1891967/1969-chevrolet-camaro-for-sale-in-lutz-florida-33559
1961 Chevrolet Corvette,"HIGHLIGHTS: INCREDIBLE, NO-EXPENSE-SPARED AWARD-WINNING RESTORATION JUST RELEASED FROM A WORLD-CLASS ...",159900.0,https://classiccars.com/listings/view/1887494/1961-chevrolet-corvette-for-sale-in-st-ann-missouri-63074
1970 GMC C/K 10,This 1970 GMC C1500is powered by a brand new 350ci ZZ6 GM Performance crate enginemated to a four-sp ...,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/57813048?utm_source=classiccars.com&utm_medium=search-results-clicks&utm_campaign=cc.com-search-direct-to-ah
1964 Pontiac Bonneville,1964 Pontiac Bonneville Two Door Hardtop V-8 Engine Automatic Transmission White Exterior over Red I ...,Price not available,https://classiccars.com/listings/view/1895393/1964-pontiac-bonneville-for-sale-in-punta-gorda-florida-33950
1955 Chrysler Windsor,This 1955 Chrysler Windsorpowered by the reportedly original 301SpitfireV8 mated to a two-speed Powe ...,Price not available,https://classiccars.comhttps://autohunter.com/listing/details/59676262?utm_source=classiccars.com&utm_medium=search-results-clicks&utm_campaign=cc.com-search-direct-to-ah
1972 Ford Capri,"This lot will be auctioned via Iconic Auctioneers, The NEC Classic Motor Show Sale 2023 - Cars on Sa ...",Price not available,https://classiccars.com/listings/view/1783391/1972-ford-capri-for-sale-in-gaydon-warwickshire-cv35-oep
